name,FIRSTNAME,LASTNAME,info,experience,sector,feedback,jurisdiction,charges,daysofdisposal,language,practices,cityofpractice,probonoserviceprovided,clientdemographics,gender
Jayesh Kapur,Jayesh,Kapur,"Jayesh Kapur has 23 years of experience in Immigration Law, Immigration Law, and Medical Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 242.45108862087608 USD per hour. He takes 99.99941825185336 Avg Days for Disposal. He speaks: Telugu, Tamil and Urdu. He practices at Madan LLC, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Large Corporations.",23,"Immigration Law, Immigration Law, and Medical Law",5,High Court,242.4510886,99.99941825,"Telugu, Tamil and Urdu",Madan LLC,Bangalore,yes,Large Corporations,male
Rohan Basu,Rohan,Basu,"Rohan Basu has 11 years of experience in Family Law, Real Estate Law, and Media and Entertainment Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 318.2287689952678 USD per hour. He takes 69.75111543208091 Avg Days for Disposal. He speaks: Tamil, Telugu and Tamil. He practices at Chopra Inc, and is based in Kolkata. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",11,"Family Law, Real Estate Law, and Media and Entertainment Law",4,High Court,318.228769,69.75111543,"Tamil, Telugu and Tamil",Chopra Inc,Kolkata,no,Large Corporations,male
Divit Kapoor,Divit,Kapoor,"Divit Kapoor has 11 years of experience in Environmental Law, Banking and Finance Law, and Real Estate Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 90.34350405605555 USD per hour. He takes 83.17201642775761 Avg Days for Disposal. He speaks: Malayalam, Tamil and Tamil. He practices at Bora, Malhotra and Manne, and is based in Kolkata. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",11,"Environmental Law, Banking and Finance Law, and Real Estate Law",1,Specialized Court,90.34350406,83.17201643,"Malayalam, Tamil and Tamil","Bora, Malhotra and Manne",Kolkata,no,Small Businesses,male
Vardaniya Mallick,Vardaniya,Mallick,"Vardaniya Mallick has 24 years of experience in Labor Law, Intellectual Property Law, and Medical Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 201.81158526077584 USD per hour. He takes 69.79119123627976 Avg Days for Disposal. He speaks: Urdu, Odia and Assamese. He practices at Bhattacharyya, Bakshi and Iyengar, and is based in Hyderabad. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",24,"Labor Law, Intellectual Property Law, and Medical Law",1,Supreme Court,201.8115853,69.79119124,"Urdu, Odia and Assamese","Bhattacharyya, Bakshi and Iyengar",Hyderabad,no,Small Businesses,male
Ivan Koshy,Ivan,Koshy,"Ivan Koshy has 21 years of experience in Constitutional Law, Banking and Finance Law, and Media and Entertainment Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 90.36541355668061 USD per hour. He takes 76.51800284634244 Avg Days for Disposal. He speaks: Bengali, Assamese and Assamese. He practices at Roy, Krishna and Kala, and is based in Delhi. He provides pro bono services to the community. His Client Demographics is Small Businesses.",21,"Constitutional Law, Banking and Finance Law, and Media and Entertainment Law",5,District Court,90.36541356,76.51800285,"Bengali, Assamese and Assamese","Roy, Krishna and Kala",Delhi,yes,Small Businesses,male
Reyansh Sibal,Reyansh,Sibal,"Reyansh Sibal has 4 years of experience in Corporate Law, Intellectual Property Law, and Medical Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 482.6946752964993 USD per hour. He takes 98.26525590339449 Avg Days for Disposal. He speaks: Telugu, Marathi and Urdu. He practices at Chatterjee, Cherian and Ramaswamy, and is based in Kolkata. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",4,"Corporate Law, Intellectual Property Law, and Medical Law",4,Supreme Court,482.6946753,98.2652559,"Telugu, Marathi and Urdu","Chatterjee, Cherian and Ramaswamy",Kolkata,no,Large Corporations,male
Vedika Vala,Vedika,Vala,"Vedika Vala has 8 years of experience in Environmental Law, Corporate Law, and Criminal Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 413.2677421968127 USD per hour. He takes 78.99776899982581 Avg Days for Disposal. He speaks: Urdu, Urdu and Punjabi. He practices at De Inc, and is based in Hyderabad. He does not provide pro bono services to the community. His Client Demographics is Individuals.",8,"Environmental Law, Corporate Law, and Criminal Law",4,Specialized Court,413.2677422,78.997769,"Urdu, Urdu and Punjabi",De Inc,Hyderabad,no,Individuals,male
Aaryahi Sood,Aaryahi,Sood,"Aaryahi Sood has 24 years of experience in Consumer Protection Law, Media and Entertainment Law, and Labor Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 256.8347394604071 USD per hour. He takes 85.48761065951552 Avg Days for Disposal. He speaks: Telugu, Telugu and Gujarati. He practices at Shankar-Sodhi, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",24,"Consumer Protection Law, Media and Entertainment Law, and Labor Law",2,High Court,256.8347395,85.48761066,"Telugu, Telugu and Gujarati",Shankar-Sodhi,Mumbai,no,Small Businesses,male
Suhana Bawa,Suhana,Bawa,"Suhana Bawa has 3 years of experience in Human Rights Law, Labor Law, and Banking and Finance Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 150.621146745652 USD per hour. He takes 65.59032408079027 Avg Days for Disposal. He speaks: Tamil, Telugu and Odia. He practices at Keer-Saini, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",3,"Human Rights Law, Labor Law, and Banking and Finance Law",3,District Court,150.6211467,65.59032408,"Tamil, Telugu and Odia",Keer-Saini,Delhi,no,Large Corporations,male
Anahi Gala,Anahi,Gala,"Anahi Gala has 22 years of experience in Labor Law, Consumer Protection Law, and Immigration Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Supreme Court. He charges 470.0547973624335 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Odia, Tamil and Gujarati. He practices at Kala Inc, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",22,"Labor Law, Consumer Protection Law, and Immigration Law",2.858744395,Supreme Court,470.0547974,89.76723953,"Odia, Tamil and Gujarati",Kala Inc,Delhi,no,Large Corporations,male
Gatik Suresh,Gatik,Suresh,"Gatik Suresh has 21 years of experience in Corporate Law, Environmental Law, and Environmental Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 205.06846807713728 USD per hour. He takes 89.33590020233027 Avg Days for Disposal. He speaks: Assamese, Kannada and Bengali. He practices at Chauhan-Choudhary, and is based in Bangalore. She provides pro bono services to the community. Her Client Demographics is Individuals.",21,"Corporate Law, Environmental Law, and Environmental Law",3,Supreme Court,205.0684681,89.3359002,"Assamese, Kannada and Bengali",Chauhan-Choudhary,Bangalore,yes,Individuals,male
Saanvi Thakur,Saanvi,Thakur,"Saanvi Thakur has 2 years of experience in Labor Law, Banking and Finance Law, and Media and Entertainment Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 122.44299425931864 USD per hour. He takes 79.06561124950257 Avg Days for Disposal. He speaks: Telugu, Kannada and Urdu. He practices at Garde, Bassi and Tailor, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",2,"Labor Law, Banking and Finance Law, and Media and Entertainment Law",3,Specialized Court,122.4429943,79.06561125,"Telugu, Kannada and Urdu","Garde, Bassi and Tailor",Chennai,no,Individuals,male
Bhavin Kata,Bhavin,Kata,"Bhavin Kata has 24 years of experience in Family Law, Civil Law, and Family Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 303.42397480427974 USD per hour. He takes 87.16478553476288 Avg Days for Disposal. He speaks: Assamese, Telugu and Odia. He practices at Dave, Kunda and Tiwari, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",24,"Family Law, Civil Law, and Family Law",5,District Court,303.4239748,87.16478553,"Assamese, Telugu and Odia","Dave, Kunda and Tiwari",Bangalore,no,Large Corporations,male
Shayak Wable,Shayak,Wable,"Shayak Wable has 12 years of experience in Consumer Protection Law, Media and Entertainment Law, and Constitutional Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 474.69835415516724 USD per hour. He takes 92.70442320755167 Avg Days for Disposal. He speaks: Malayalam, Kannada and Gujarati. He practices at Dube Ltd, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",12,"Consumer Protection Law, Media and Entertainment Law, and Constitutional Law",4,High Court,474.6983542,92.70442321,"Malayalam, Kannada and Gujarati",Dube Ltd,Mumbai,no,Individuals,male
Nakul Varughese,Nakul,Varughese,"Nakul Varughese has 6 years of experience in Tax Law, Criminal Law, and Environmental Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 51.723630725145156 USD per hour. He takes 77.77697776635983 Avg Days for Disposal. He speaks: Urdu, Malayalam and Bengali. He practices at Shetty, Ghose and Kara, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Individuals.",6,"Tax Law, Criminal Law, and Environmental Law",5,Specialized Court,51.72363073,77.77697777,"Urdu, Malayalam and Bengali","Shetty, Ghose and Kara",Hyderabad,yes,Individuals,male
Aarush Rajagopalan,Aarush,Rajagopalan,"Aarush Rajagopalan has 2 years of experience in Labor Law, Medical Law, and Human Rights Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 157.15617946429944 USD per hour. He takes 67.85606183997331 Avg Days for Disposal. He speaks: Malayalam, Kannada and Telugu. He practices at Date-Upadhyay, and is based in Delhi. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",2,"Labor Law, Medical Law, and Human Rights Law",3,District Court,157.1561795,67.85606184,"Malayalam, Kannada and Telugu",Date-Upadhyay,Delhi,yes,Large Corporations,male
Krish Ramachandran,Krish,Ramachandran,"Krish Ramachandran has 28 years of experience in Medical Law, Human Rights Law, and Family Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 472.30143818468343 USD per hour. He takes 117.08361649030223 Avg Days for Disposal. He speaks: Tamil, Telugu and Kannada. He practices at Balasubramanian PLC, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",28,"Medical Law, Human Rights Law, and Family Law",4,Supreme Court,472.3014382,117.0836165,"Tamil, Telugu and Kannada",Balasubramanian PLC,Delhi,no,Small Businesses,male
Rhea De,Rhea,De,"Rhea De has 21 years of experience in Constitutional Law, Civil Law, and Corporate Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 126.98868508572292 USD per hour. He takes 80.50090942934591 Avg Days for Disposal. He speaks: Tamil, Punjabi and Malayalam. He practices at Ganesh, Grover and Kapadia, and is based in Kolkata. He provides pro bono services to the community. His Client Demographics is Small Businesses.",21,"Constitutional Law, Civil Law, and Corporate Law",1,Specialized Court,126.9886851,80.50090943,"Tamil, Punjabi and Malayalam","Ganesh, Grover and Kapadia",Kolkata,yes,Small Businesses,male
Sahil D’Alia,Sahil,D’Alia,"Sahil D’Alia has 1 years of experience in Labor Law, Immigration Law, and Banking and Finance Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 100.95955323791894 USD per hour. He takes 88.54859845219666 Avg Days for Disposal. He speaks: Malayalam, Punjabi and Odia. He practices at Dhillon-Kumar, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Large Corporations.",1,"Labor Law, Immigration Law, and Banking and Finance Law",5,Supreme Court,100.9595532,88.54859845,"Malayalam, Punjabi and Odia",Dhillon-Kumar,Chennai,yes,Large Corporations,male
Eshani Hayre,Eshani,Hayre,"Eshani Hayre has 12 years of experience in Immigration Law, Immigration Law, and Tax Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Supreme Court. He charges 306.584247109912 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Urdu, Bengali and Marathi. He practices at Dora, Garg and Raj, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",12,"Immigration Law, Immigration Law, and Tax Law",2.858744395,Supreme Court,306.5842471,89.76723953,"Urdu, Bengali and Marathi","Dora, Garg and Raj",Chennai,no,Small Businesses,male
Advika Walla,Advika,Walla,"Advika Walla has 26 years of experience in Environmental Law, Banking and Finance Law, and Criminal Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 437.82972048267345 USD per hour. He takes 142.93582781355727 Avg Days for Disposal. He speaks: Urdu, Punjabi and Odia. He practices at Chaudhuri, Shukla and Chandra, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",26,"Environmental Law, Banking and Finance Law, and Criminal Law",4,Specialized Court,437.8297205,142.9358278,"Urdu, Punjabi and Odia","Chaudhuri, Shukla and Chandra",Kolkata,yes,Large Corporations,male
Aaryahi Banik,Aaryahi,Banik,"Aaryahi Banik has 22 years of experience in Environmental Law, Human Rights Law, and Environmental Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 264.69941796226675 USD per hour. He takes 71.33270325166701 Avg Days for Disposal. He speaks: Hindi, Bengali and Bengali. He practices at Bhagat-Singhal, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",22,"Environmental Law, Human Rights Law, and Environmental Law",1,Specialized Court,264.699418,71.33270325,"Hindi, Bengali and Bengali",Bhagat-Singhal,Mumbai,no,Large Corporations,male
Yasmin Kalla,Yasmin,Kalla,"Yasmin Kalla has 29 years of experience in Family Law, Family Law, and Media and Entertainment Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 497.55391550803614 USD per hour. He takes 96.74740820589764 Avg Days for Disposal. He speaks: Malayalam, Odia and Malayalam. He practices at Din Group, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",29,"Family Law, Family Law, and Media and Entertainment Law",1,Specialized Court,497.5539155,96.74740821,"Malayalam, Odia and Malayalam",Din Group,Chennai,no,Individuals,male
Mahika Varma,Mahika,Varma,"Mahika Varma has 12 years of experience in Constitutional Law, Real Estate Law, and Family Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 355.62726479209675 USD per hour. He takes 79.3867157205884 Avg Days for Disposal. He speaks: Odia, Gujarati and Tamil. He practices at Handa Ltd, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",12,"Constitutional Law, Real Estate Law, and Family Law",4,Specialized Court,355.6272648,79.38671572,"Odia, Gujarati and Tamil",Handa Ltd,Delhi,no,Small Businesses,male
Ira Mall,Ira,Mall,"Ira Mall has 25 years of experience in Consumer Protection Law, Consumer Protection Law, and Banking and Finance Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 83.33370824470148 USD per hour. He takes 81.91814543134933 Avg Days for Disposal. He speaks: Tamil, Urdu and Malayalam. He practices at Halder LLC, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",25,"Consumer Protection Law, Consumer Protection Law, and Banking and Finance Law",2,Specialized Court,83.33370824,81.91814543,"Tamil, Urdu and Malayalam",Halder LLC,Mumbai,yes,Large Corporations,male
Madhav Agarwal,Madhav,Agarwal,"Madhav Agarwal has 17 years of experience in Medical Law, Intellectual Property Law, and Media and Entertainment Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 496.7744592568889 USD per hour. He takes 79.19681968489814 Avg Days for Disposal. He speaks: Hindi, Gujarati and Bengali. He practices at Sheth-Shere, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",17,"Medical Law, Intellectual Property Law, and Media and Entertainment Law",5,Supreme Court,496.7744593,79.19681968,"Hindi, Gujarati and Bengali",Sheth-Shere,Bangalore,no,Small Businesses,male
Kanav Sahni,Kanav,Sahni,"Kanav Sahni has 27 years of experience in Intellectual Property Law, Tax Law, and Civil Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 233.55240655108568 USD per hour. He takes 73.11517548299122 Avg Days for Disposal. He speaks: Kannada, Kannada and Malayalam. He practices at Thaker and Sons, and is based in Bangalore. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",27,"Intellectual Property Law, Tax Law, and Civil Law",5,High Court,233.5524066,73.11517548,"Kannada, Kannada and Malayalam",Thaker and Sons,Bangalore,no,Small Businesses,male
Anaya Choudhary,Anaya,Choudhary,"Anaya Choudhary has 27 years of experience in Constitutional Law, Medical Law, and Tax Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 179.33114023046713 USD per hour. He takes 89.38062957323008 Avg Days for Disposal. He speaks: Gujarati, Assamese and Hindi. He practices at Bhasin-Mangal, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Small Businesses.",27,"Constitutional Law, Medical Law, and Tax Law",3,High Court,179.3311402,89.38062957,"Gujarati, Assamese and Hindi",Bhasin-Mangal,Mumbai,yes,Small Businesses,male
Drishya Rattan,Drishya,Rattan,"Drishya Rattan has 10 years of experience in Environmental Law, Environmental Law, and Family Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 301.04563261004853 USD per hour. He takes 67.88245969427646 Avg Days for Disposal. He speaks: Gujarati, Hindi and Tamil. He practices at Kalita, Taneja and Chahal, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",10,"Environmental Law, Environmental Law, and Family Law",4,Specialized Court,301.0456326,67.88245969,"Gujarati, Hindi and Tamil","Kalita, Taneja and Chahal",Delhi,no,Large Corporations,male
Nitya Talwar,Nitya,Talwar,"Nitya Talwar has 28 years of experience in Immigration Law, Civil Law, and Intellectual Property Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Supreme Court. He charges 186.93841631938895 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Tamil, Kannada and Bengali. He practices at Tandon-Kari, and is based in Bangalore. He does not provide pro bono services to the community. His Client Demographics is Individuals.",28,"Immigration Law, Civil Law, and Intellectual Property Law",2.858744395,Supreme Court,186.9384163,89.76723953,"Tamil, Kannada and Bengali",Tandon-Kari,Bangalore,no,Individuals,male
Ivana Madan,Ivana,Madan,"Ivana Madan has 28 years of experience in Media and Entertainment Law, Media and Entertainment Law, and Medical Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 88.90587820406854 USD per hour. He takes 90.82504404050061 Avg Days for Disposal. He speaks: Hindi, Telugu and Gujarati. He practices at Banik-Raval, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Small Businesses.",28,"Media and Entertainment Law, Media and Entertainment Law, and Medical Law",3,High Court,88.9058782,90.82504404,"Hindi, Telugu and Gujarati",Banik-Raval,Hyderabad,yes,Small Businesses,male
Purab Contractor,Purab,Contractor,"Purab Contractor has 16 years of experience in Tax Law, Environmental Law, and Corporate Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is High Court. He charges 50.64275438562952 USD per hour. He takes 96.3365245935216 Avg Days for Disposal. He speaks: Odia, Telugu and Kannada. He practices at Karan and Sons, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",16,"Tax Law, Environmental Law, and Corporate Law",1,High Court,50.64275439,96.33652459,"Odia, Telugu and Kannada",Karan and Sons,Delhi,no,Large Corporations,male
Riya Kannan,Riya,Kannan,"Riya Kannan has 15 years of experience in Family Law, Immigration Law, and Real Estate Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 252.31250881411805 USD per hour. He takes 83.00717082080666 Avg Days for Disposal. He speaks: Malayalam, Urdu and Bengali. He practices at Gole-Balakrishnan, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",15,"Family Law, Immigration Law, and Real Estate Law",5,High Court,252.3125088,83.00717082,"Malayalam, Urdu and Bengali",Gole-Balakrishnan,Kolkata,yes,Small Businesses,male
Zoya Verma,Zoya,Verma,"Zoya Verma has 15 years of experience in Intellectual Property Law, Labor Law, and Environmental Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 426.5885400019665 USD per hour. He takes 84.49194098682378 Avg Days for Disposal. He speaks: Odia, Marathi and Gujarati. He practices at Konda and Sons, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",15,"Intellectual Property Law, Labor Law, and Environmental Law",3,Supreme Court,426.58854,84.49194099,"Odia, Marathi and Gujarati",Konda and Sons,Chennai,no,Individuals,male
Jhanvi Gaba,Jhanvi,Gaba,"Jhanvi Gaba has 19 years of experience in Immigration Law, Corporate Law, and Medical Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 307.54183353353443 USD per hour. He takes 94.31345857750992 Avg Days for Disposal. He speaks: Kannada, Marathi and Marathi. He practices at Dar-Kapur, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",19,"Immigration Law, Corporate Law, and Medical Law",1,Specialized Court,307.5418335,94.31345858,"Kannada, Marathi and Marathi",Dar-Kapur,Mumbai,yes,Small Businesses,male
